Picture,Method,Match count,Execution time (s)
../storage/dataset/dataset1/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png,SIFT,189,0.3482027053833008
../storage/dataset/dataset1/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png,TM_CCOEFF_NORMED,1,0.053108930587768555
../storage/dataset/dataset1/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png,SIFT,43,0.31099724769592285
../storage/dataset/dataset1/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png,TM_CCOEFF_NORMED,2,0.050000667572021484
../storage/dataset/dataset1/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png,SIFT,74,0.07099723815917969
../storage/dataset/dataset1/img_10.png ../storage/dataset/dataset1_templates/128/img_10_001.png,TM_CCOEFF_NORMED,2,0.011004209518432617
../storage/dataset/dataset1/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png,SIFT,20,0.06899785995483398
../storage/dataset/dataset1/img_10.png ../storage/dataset/dataset1_templates/128/img_10_002.png,TM_CCOEFF_NORMED,4,0.015021085739135742
../storage/dataset/dataset1/img_11.png ../storage/dataset/dataset1_templates/128/img_11_001.png,SIFT,11,0.1354997158050537
../storage/dataset/dataset1/img_11.png ../storage/dataset/dataset1_templates/128/img_11_001.png,TM_CCOEFF_NORMED,3,0.0340275764465332
../storage/dataset/dataset1/img_11.png ../storage/dataset/dataset1_templates/128/img_11_002.png,SIFT,53,0.13498735427856445
../storage/dataset/dataset1/img_11.png ../storage/dataset/dataset1_templates/128/img_11_002.png,TM_CCOEFF_NORMED,1,0.028000831604003906
../storage/dataset/dataset1/img_12.png ../storage/dataset/dataset1_templates/128/img_12_001.png,SIFT,5,0.11303997039794922
../storage/dataset/dataset1/img_12.png ../storage/dataset/dataset1_templates/128/img_12_001.png,TM_CCOEFF_NORMED,3,0.03300166130065918
../storage/dataset/dataset1/img_12.png ../storage/dataset/dataset1_templates/128/img_12_002.png,SIFT,0,0.11501240730285645
../storage/dataset/dataset1/img_12.png ../storage/dataset/dataset1_templates/128/img_12_002.png,TM_CCOEFF_NORMED,14,0.09799766540527344
../storage/dataset/dataset1/img_13.png ../storage/dataset/dataset1_templates/128/img_13_001.png,SIFT,127,0.2059934139251709
../storage/dataset/dataset1/img_13.png ../storage/dataset/dataset1_templates/128/img_13_001.png,TM_CCOEFF_NORMED,1,0.036037445068359375
