Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;SIFT;0.25096821784973145;True
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;ORB;0.317002534866333;False
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_CCOEFF_NORMED;0.04097270965576172;True
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_CCORR_NORMED;0.03203701972961426;True
1;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_SQDIFF;0.03599286079406738;True
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;SIFT;0.2480013370513916;False
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;ORB;0.1340315341949463;False
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_CCOEFF_NORMED;0.042999982833862305;False
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_CCORR_NORMED;0.03300118446350098;False
2;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_SQDIFF;0.03500008583068848;False
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;SIFT;0.2509636878967285;False
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;ORB;0.18997597694396973;False
3;../storage/dataset_alter/dataset1/blur/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_CCOEFF_NORMED;0.04299807548522949;False
