Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;SIFT;0.47800230979919434;True
1;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;ORB;0.18300080299377441;False
1;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCOEFF_NORMED;0.04800081253051758;True
1;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCORR_NORMED;0.035004377365112305;True
1;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_SQDIFF;0.038977622985839844;True
2;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;SIFT;0.4979979991912842;True
2;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;ORB;0.21297168731689453;True
2;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCOEFF_NORMED;0.04800057411193848;True
2;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCORR_NORMED;0.03699946403503418;True
2;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_SQDIFF;0.04499959945678711;True
3;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;SIFT;0.5010013580322266;True
3;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;ORB;0.22100305557250977;True
3;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCOEFF_NORMED;0.04596877098083496;True
3;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCORR_NORMED;0.03196597099304199;True
3;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_SQDIFF;0.037993669509887695;True
4;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;SIFT;0.4650294780731201;False
4;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;ORB;0.03900647163391113;False
4;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCOEFF_NORMED;0.0470273494720459;True
4;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCORR_NORMED;0.03499960899353027;True
4;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_SQDIFF;0.03803372383117676;True
5;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;SIFT;0.46796083450317383;False
5;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;ORB;0.12297630310058594;False
5;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_CCOEFF_NORMED;0.04703712463378906;True
5;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_CCORR_NORMED;0.03899955749511719;True
5;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_SQDIFF;0.04399991035461426;True
6;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;SIFT;0.47702813148498535;True
6;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;ORB;0.27204084396362305;False
6;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_CCOEFF_NORMED;0.04599428176879883;True
6;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_CCORR_NORMED;0.032994985580444336;True
6;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_SQDIFF;0.03902721405029297;True
7;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;SIFT;0.4849588871002197;True
7;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;ORB;0.11303448677062988;False
7;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;TM_CCOEFF_NORMED;0.046991586685180664;True
7;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;TM_CCORR_NORMED;0.03597235679626465;True
7;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;TM_SQDIFF;0.0429990291595459;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;SIFT;0.5038018226623535;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;ORB;0.298170804977417;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;TM_CCOEFF_NORMED;0.04799532890319824;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;TM_CCORR_NORMED;0.03498983383178711;True
8;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_008.png;TM_SQDIFF;0.044008493423461914;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;SIFT;0.48599910736083984;True
9;../storage/dataset_alter/dataset1/noise/img_1.png ../storage/dataset/dataset1_templates/128/img_1_009.png;ORB;0.21900415420532227;True
