Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;SIFT;0.7555112838745117;True
1;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;ORB;1.213801383972168;True
1;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCOEFF_NORMED;0.18869996070861816;True
1;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_CCORR_NORMED;0.03600025177001953;True
1;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;TM_SQDIFF;0.04800915718078613;True
1;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_001.png;CUSTOM_TM_METHOD;0.2179727554321289;True
2;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;SIFT;0.3779623508453369;True
2;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;ORB;0.06902956962585449;True
2;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCOEFF_NORMED;0.0440061092376709;True
2;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_CCORR_NORMED;0.031003713607788086;True
2;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;TM_SQDIFF;0.03702664375305176;True
2;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_002.png;CUSTOM_TM_METHOD;0.20197749137878418;True
3;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;SIFT;0.38199448585510254;True
3;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;ORB;0.22699999809265137;True
3;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCOEFF_NORMED;0.04396533966064453;True
3;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_CCORR_NORMED;0.03301429748535156;True
3;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;TM_SQDIFF;0.03601574897766113;True
3;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_003.png;CUSTOM_TM_METHOD;0.20301032066345215;True
4;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;SIFT;0.383023738861084;True
4;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;ORB;0.09099841117858887;True
4;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCOEFF_NORMED;0.044034481048583984;True
4;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_CCORR_NORMED;0.031035900115966797;True
4;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;TM_SQDIFF;0.036997079849243164;True
4;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_004.png;CUSTOM_TM_METHOD;0.20261836051940918;True
5;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;SIFT;0.3679773807525635;False
5;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;ORB;0.02899479866027832;False
5;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_CCOEFF_NORMED;0.0439913272857666;True
5;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_CCORR_NORMED;0.033998727798461914;True
5;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;TM_SQDIFF;0.036004066467285156;True
5;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_005.png;CUSTOM_TM_METHOD;0.20404648780822754;True
6;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;SIFT;0.37598347663879395;True
6;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;ORB;0.029975414276123047;False
6;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_CCOEFF_NORMED;0.043984174728393555;True
6;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_CCORR_NORMED;0.034029245376586914;True
6;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;TM_SQDIFF;0.03797149658203125;True
6;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_006.png;CUSTOM_TM_METHOD;0.20398426055908203;True
7;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;SIFT;0.3729679584503174;True
7;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;ORB;0.029970407485961914;False
7;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;TM_CCOEFF_NORMED;0.045668601989746094;True
7;../storage/dataset_alter/dataset1/normal/img_1.png ../storage/dataset/dataset1_templates/128/img_1_007.png;TM_CCORR_NORMED;0.03399968147277832;True
