Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;SIFT;0.49399662017822266;False
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;ORB;1.5120265483856201;False
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_CCOEFF_NORMED;0.041001081466674805;True
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_CCORR_NORMED;0.031000375747680664;True
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_SQDIFF;0.035004377365112305;False
1;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;CUSTOM_TM_METHOD;0.21197080612182617;False
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;SIFT;0.5110368728637695;True
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;ORB;1.7369978427886963;True
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_CCOEFF_NORMED;0.0469973087310791;False
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_CCORR_NORMED;0.031002044677734375;True
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_SQDIFF;0.03597545623779297;True
2;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;CUSTOM_TM_METHOD;0.21796536445617676;False
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;SIFT;0.52695631980896;True
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;ORB;1.2139678001403809;True
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_CCOEFF_NORMED;0.04899168014526367;False
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_CCORR_NORMED;0.030031681060791016;False
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_SQDIFF;0.03499865531921387;True
3;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;CUSTOM_TM_METHOD;0.22498130798339844;False
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;SIFT;0.4949955940246582;True
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;ORB;1.7190263271331787;True
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;TM_CCOEFF_NORMED;0.047998666763305664;True
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;TM_CCORR_NORMED;0.03500199317932129;True
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;TM_SQDIFF;0.034032344818115234;True
4;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;CUSTOM_TM_METHOD;0.2299971580505371;False
5;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_005.png;SIFT;0.5010266304016113;False
5;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_005.png;ORB;1.0779838562011719;False
5;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_005.png;TM_CCOEFF_NORMED;0.045027732849121094;False
5;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_005.png;TM_CCORR_NORMED;0.03200078010559082;False
5;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_005.png;TM_SQDIFF;0.04996609687805176;False
5;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_005.png;CUSTOM_TM_METHOD;0.2799711227416992;False
6;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_006.png;SIFT;0.49396753311157227;False
6;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_006.png;ORB;0.4279963970184326;False
6;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_006.png;TM_CCOEFF_NORMED;0.06033635139465332;True
6;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_006.png;TM_CCORR_NORMED;0.038001298904418945;True
6;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_006.png;TM_SQDIFF;0.038997650146484375;True
6;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_006.png;CUSTOM_TM_METHOD;0.23718476295471191;False
7;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_007.png;SIFT;0.5230300426483154;False
7;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_007.png;ORB;0.5529963970184326;False
7;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_007.png;TM_CCOEFF_NORMED;0.049999237060546875;False
7;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_007.png;TM_CCORR_NORMED;0.03300046920776367;False
7;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_007.png;TM_SQDIFF;0.042974233627319336;False
7;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_007.png;CUSTOM_TM_METHOD;0.23600363731384277;False
8;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;SIFT;0.49700331687927246;True
8;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;ORB;0.9769697189331055;True
8;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;TM_CCOEFF_NORMED;0.04799795150756836;False
8;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;TM_CCORR_NORMED;0.03201413154602051;False
8;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;TM_SQDIFF;0.035001516342163086;False
8;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_008.png;CUSTOM_TM_METHOD;0.23096776008605957;False
9;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;SIFT;0.5070273876190186;False
9;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;ORB;1.6489977836608887;False
9;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;TM_CCOEFF_NORMED;0.04497218132019043;True
9;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;TM_CCORR_NORMED;0.03596186637878418;True
9;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;TM_SQDIFF;0.04000258445739746;False
9;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_009.png;CUSTOM_TM_METHOD;0.23599886894226074;False
10;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;SIFT;0.5049967765808105;True
10;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;ORB;1.5639967918395996;True
10;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;TM_CCOEFF_NORMED;0.04401755332946777;True
10;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;TM_CCORR_NORMED;0.030995845794677734;True
10;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;TM_SQDIFF;0.04300546646118164;True
10;../storage/dataset_alter/dataset1/rotation/img_1.png ../storage/dataset/dataset1_templates/256/img_1_010.png;CUSTOM_TM_METHOD;0.23199987411499023;False
11;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;SIFT;0.12099957466125488;False
11;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;ORB;0.31400346755981445;False
11;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;TM_CCOEFF_NORMED;0.009018898010253906;False
11;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;TM_CCORR_NORMED;0.007999181747436523;False
11;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;TM_SQDIFF;0.008033990859985352;False
11;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_001.png;CUSTOM_TM_METHOD;0.04401898384094238;False
12;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;SIFT;0.11197137832641602;False
12;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;ORB;0.22400474548339844;False
12;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;TM_CCOEFF_NORMED;0.009976625442504883;False
12;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;TM_CCORR_NORMED;0.0070111751556396484;False
12;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;TM_SQDIFF;0.007003307342529297;True
12;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_002.png;CUSTOM_TM_METHOD;0.04099869728088379;False
13;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;SIFT;0.11400532722473145;False
13;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;ORB;0.1910262107849121;False
13;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;TM_CCOEFF_NORMED;0.010968923568725586;False
13;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;TM_CCORR_NORMED;0.007996797561645508;False
13;../storage/dataset_alter/dataset1/rotation/img_10.png ../storage/dataset/dataset1_templates/256/img_10_003.png;TM_SQDIFF;0.008008003234863281;False
