Image number;Picture;Method;Execution time (s);Valid match
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;SIFT;0.15096354484558105;True
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;ORB;1.49295973777771;True
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_CCOEFF_NORMED;0.007993936538696289;False
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_CCORR_NORMED;0.0060002803802490234;False
1;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_001.png;TM_SQDIFF;0.00700068473815918;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;SIFT;0.13900423049926758;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;ORB;0.6589603424072266;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_CCOEFF_NORMED;0.008965492248535156;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_CCORR_NORMED;0.005995273590087891;False
2;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_002.png;TM_SQDIFF;0.006966114044189453;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;SIFT;0.15403294563293457;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;ORB;0.9170072078704834;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_CCOEFF_NORMED;0.00899958610534668;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_CCORR_NORMED;0.0060007572174072266;False
3;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_003.png;TM_SQDIFF;0.0070002079010009766;False
4;../storage/dataset_alter/dataset1/zoom/img_1.png ../storage/dataset/dataset1_templates/256/img_1_004.png;SIFT;0.12100052833557129;False
