image;template;x1;y1;x2;y2
img_1.png;img_1_001.png;261;350;517;606
img_1.png;img_1_002.png;1006;35;1262;291
img_1.png;img_1_003.png;795;423;1051;679
img_1.png;img_1_004.png;259;583;515;839
img_1.png;img_1_005.png;519;280;775;536
img_1.png;img_1_006.png;199;4;455;260
img_1.png;img_1_007.png;705;119;961;375
img_1.png;img_1_008.png;7;144;263;400
img_1.png;img_1_009.png;764;291;1020;547
img_1.png;img_1_010.png;125;32;381;288
img_10.png;img_10_001.png;347;57;603;313
img_10.png;img_10_002.png;281;23;537;279
img_10.png;img_10_003.png;210;170;466;426
img_10.png;img_10_004.png;73;64;329;320
img_10.png;img_10_005.png;171;12;427;268
img_10.png;img_10_006.png;15;13;271;269
img_10.png;img_10_007.png;156;28;412;284
img_10.png;img_10_008.png;196;147;452;403
img_10.png;img_10_009.png;82;83;338;339
img_10.png;img_10_010.png;73;7;329;263
img_11.png;img_11_001.png;679;271;935;527
img_11.png;img_11_002.png;689;221;945;477
img_11.png;img_11_003.png;468;218;724;474
img_11.png;img_11_004.png;269;256;525;512
img_11.png;img_11_005.png;312;312;568;568
img_11.png;img_11_006.png;383;283;639;539
img_11.png;img_11_007.png;197;306;453;562
img_11.png;img_11_008.png;416;238;672;494
img_11.png;img_11_009.png;376;9;632;265
img_11.png;img_11_010.png;100;107;356;363
img_12.png;img_12_001.png;6;256;262;512
img_12.png;img_12_002.png;311;334;567;590
img_12.png;img_12_003.png;436;135;692;391
img_12.png;img_12_004.png;404;109;660;365
img_12.png;img_12_005.png;108;210;364;466
img_12.png;img_12_006.png;482;187;738;443
img_12.png;img_12_007.png;639;321;895;577
img_12.png;img_12_008.png;64;175;320;431
img_12.png;img_12_009.png;47;228;303;484
img_12.png;img_12_010.png;541;330;797;586
img_13.png;img_13_001.png;169;332;425;588
img_13.png;img_13_002.png;687;362;943;618
img_13.png;img_13_003.png;449;500;705;756
img_13.png;img_13_004.png;11;456;267;712
img_13.png;img_13_005.png;334;212;590;468
img_13.png;img_13_006.png;429;166;685;422
img_13.png;img_13_007.png;549;210;805;466
img_13.png;img_13_008.png;286;243;542;499
img_13.png;img_13_009.png;522;224;778;480
img_13.png;img_13_010.png;370;358;626;614
img_14.png;img_14_001.png;32;144;288;400
img_14.png;img_14_002.png;587;526;843;782
img_14.png;img_14_003.png;146;152;402;408
img_14.png;img_14_004.png;158;410;414;666
img_14.png;img_14_005.png;796;457;1052;713
img_14.png;img_14_006.png;502;477;758;733
img_14.png;img_14_007.png;648;145;904;401
img_14.png;img_14_008.png;411;176;667;432
img_14.png;img_14_009.png;138;88;394;344
img_14.png;img_14_010.png;846;120;1102;376
img_15.png;img_15_001.png;479;305;735;561
img_15.png;img_15_002.png;381;177;637;433
img_15.png;img_15_003.png;44;154;300;410
img_15.png;img_15_004.png;485;366;741;622
img_15.png;img_15_005.png;316;22;572;278
img_15.png;img_15_006.png;352;364;608;620
img_15.png;img_15_007.png;166;187;422;443
img_15.png;img_15_008.png;242;166;498;422
img_15.png;img_15_009.png;61;162;317;418
img_15.png;img_15_010.png;45;409;301;665
img_16.png;img_16_001.png;1489;813;1745;1069
img_16.png;img_16_002.png;350;190;606;446
img_16.png;img_16_003.png;987;598;1243;854
img_16.png;img_16_004.png;735;340;991;596
img_16.png;img_16_005.png;1110;817;1366;1073
img_16.png;img_16_006.png;604;718;860;974
img_16.png;img_16_007.png;1327;725;1583;981
img_16.png;img_16_008.png;1259;16;1515;272
img_16.png;img_16_009.png;525;604;781;860
img_16.png;img_16_010.png;770;62;1026;318
img_17.png;img_17_001.png;798;383;1054;639
img_17.png;img_17_002.png;288;43;544;299
img_17.png;img_17_003.png;443;347;699;603
img_17.png;img_17_004.png;309;437;565;693
img_17.png;img_17_005.png;610;255;866;511
img_17.png;img_17_006.png;866;371;1122;627
img_17.png;img_17_007.png;232;455;488;711
img_17.png;img_17_008.png;831;313;1087;569
img_17.png;img_17_009.png;645;65;901;321
img_17.png;img_17_010.png;630;66;886;322
img_18.png;img_18_001.png;262;148;518;404
img_18.png;img_18_002.png;160;44;416;300
img_18.png;img_18_003.png;342;132;598;388
img_18.png;img_18_004.png;185;56;441;312
img_18.png;img_18_005.png;275;44;531;300
img_18.png;img_18_006.png;186;11;442;267
img_18.png;img_18_007.png;7;105;263;361
img_18.png;img_18_008.png;329;26;585;282
img_18.png;img_18_009.png;166;139;422;395
img_18.png;img_18_010.png;328;14;584;270
img_19.png;img_19_001.png;1317;765;1573;1021
img_19.png;img_19_002.png;1552;691;1808;947
img_19.png;img_19_003.png;509;787;765;1043
img_19.png;img_19_004.png;70;503;326;759
img_19.png;img_19_005.png;1519;804;1775;1060
img_19.png;img_19_006.png;305;330;561;586
img_19.png;img_19_007.png;1175;271;1431;527
img_19.png;img_19_008.png;399;645;655;901
img_19.png;img_19_009.png;988;364;1244;620
img_19.png;img_19_010.png;1109;678;1365;934
img_2.png;img_2_001.png;416;125;672;381
img_2.png;img_2_002.png;43;107;299;363
img_2.png;img_2_003.png;321;107;577;363
img_2.png;img_2_004.png;42;124;298;380
img_2.png;img_2_005.png;53;0;309;256
img_2.png;img_2_006.png;500;156;756;412
img_2.png;img_2_007.png;340;85;596;341
img_2.png;img_2_008.png;328;79;584;335
img_2.png;img_2_009.png;155;187;411;443
img_2.png;img_2_010.png;180;36;436;292
img_20.png;img_20_001.png;985;265;1241;521
img_20.png;img_20_002.png;640;163;896;419
img_20.png;img_20_003.png;568;379;824;635
img_20.png;img_20_004.png;613;191;869;447
img_20.png;img_20_005.png;434;457;690;713
img_20.png;img_20_006.png;782;50;1038;306
img_20.png;img_20_007.png;24;234;280;490
img_20.png;img_20_008.png;940;61;1196;317
img_20.png;img_20_009.png;853;6;1109;262
img_20.png;img_20_010.png;718;127;974;383
img_3.png;img_3_001.png;746;53;1002;309
img_3.png;img_3_002.png;1097;890;1353;1146
img_3.png;img_3_003.png;756;279;1012;535
img_3.png;img_3_004.png;412;184;668;440
img_3.png;img_3_005.png;1142;805;1398;1061
img_3.png;img_3_006.png;1057;356;1313;612
img_3.png;img_3_007.png;724;868;980;1124
img_3.png;img_3_008.png;1004;623;1260;879
img_3.png;img_3_009.png;1399;98;1655;354
img_3.png;img_3_010.png;538;15;794;271
img_4.png;img_4_001.png;1033;875;1289;1131
img_4.png;img_4_002.png;699;310;955;566
img_4.png;img_4_003.png;140;186;396;442
img_4.png;img_4_004.png;829;187;1085;443
img_4.png;img_4_005.png;783;932;1039;1188
img_4.png;img_4_006.png;420;228;676;484
img_4.png;img_4_007.png;418;806;674;1062
img_4.png;img_4_008.png;1084;677;1340;933
img_4.png;img_4_009.png;584;463;840;719
img_4.png;img_4_010.png;472;462;728;718
img_5.png;img_5_001.png;937;195;1193;451
img_5.png;img_5_002.png;43;25;299;281
img_5.png;img_5_003.png;723;27;979;283
img_5.png;img_5_004.png;338;397;594;653
img_5.png;img_5_005.png;420;121;676;377
img_5.png;img_5_006.png;1239;114;1495;370
img_5.png;img_5_007.png;1306;198;1562;454
img_5.png;img_5_008.png;427;670;683;926
img_5.png;img_5_009.png;64;491;320;747
img_5.png;img_5_010.png;1176;570;1432;826
img_6.png;img_6_001.png;217;302;473;558
img_6.png;img_6_002.png;57;0;313;256
img_6.png;img_6_003.png;76;352;332;608
img_6.png;img_6_004.png;868;223;1124;479
img_6.png;img_6_005.png;558;224;814;480
img_6.png;img_6_006.png;503;131;759;387
img_6.png;img_6_007.png;18;103;274;359
img_6.png;img_6_008.png;280;433;536;689
img_6.png;img_6_009.png;51;11;307;267
img_6.png;img_6_010.png;543;439;799;695
img_7.png;img_7_001.png;168;148;424;404
img_7.png;img_7_002.png;1001;33;1257;289
img_7.png;img_7_003.png;236;409;492;665
img_7.png;img_7_004.png;274;505;530;761
img_7.png;img_7_005.png;292;32;548;288
img_7.png;img_7_006.png;830;578;1086;834
img_7.png;img_7_007.png;440;341;696;597
img_7.png;img_7_008.png;749;488;1005;744
img_7.png;img_7_009.png;266;11;522;267
img_7.png;img_7_010.png;92;196;348;452
img_8.png;img_8_001.png;1121;173;1377;429
img_8.png;img_8_002.png;1018;630;1274;886
img_8.png;img_8_003.png;165;86;421;342
img_8.png;img_8_004.png;456;594;712;850
img_8.png;img_8_005.png;1583;699;1839;955
img_8.png;img_8_006.png;1491;346;1747;602
img_8.png;img_8_007.png;1197;521;1453;777
img_8.png;img_8_008.png;1623;137;1879;393
img_8.png;img_8_009.png;888;396;1144;652
img_8.png;img_8_010.png;92;387;348;643
img_9.png;img_9_001.png;12;115;268;371
img_9.png;img_9_002.png;348;24;604;280
img_9.png;img_9_003.png;252;36;508;292
img_9.png;img_9_004.png;340;117;596;373
img_9.png;img_9_005.png;164;34;420;290
img_9.png;img_9_006.png;357;106;613;362
img_9.png;img_9_007.png;233;169;489;425
img_9.png;img_9_008.png;158;90;414;346
img_9.png;img_9_009.png;354;61;610;317
img_9.png;img_9_010.png;270;25;526;281
